win,lose,probability
Charlotte Hornets,Toronto Raptors,0.548537361468
Oklahoma City Thunder,Los Angeles Clippers,0.769169332845
Orlando Magic,Utah Jazz,0.52013875586
Indiana Pacers,Philadelphia 76ers,0.802902506224
Portland Trail Blazers,Sacramento Kings,0.831347793221
San Antonio Spurs,Detroit Pistons,0.853889344812
Cleveland Cavaliers,Washington Wizards,0.680988390907
Atlanta Hawks,Philadelphia 76ers,0.930801486053
Chicago Bulls,Washington Wizards,0.596888808565
Denver Nuggets,Detroit Pistons,0.544144860155
San Antonio Spurs,Houston Rockets,0.574719480379
Indiana Pacers,Boston Celtics,0.629626133164
Miami Heat,Utah Jazz,0.706417454269
Milwaukee Bucks,Memphis Grizzlies,0.607148489675
Los Angeles Clippers,Minnesota Timberwolves,0.550201862338
New Orleans Pelicans,Los Angeles Lakers,0.675406938066
Phoenix Suns,Brooklyn Nets,0.693840761642
Toronto Raptors,New York Knicks,0.836605081535
Cleveland Cavaliers,Charlotte Hornets,0.837749806032
Golden State Warriors,Phoenix Suns,0.943067738032
Minnesota Timberwolves,Los Angeles Lakers,0.754036749107
Oklahoma City Thunder,Orlando Magic,0.878602523572
Portland Trail Blazers,Denver Nuggets,0.866756273262
Oklahoma City Thunder,Detroit Pistons,0.579057974781
Houston Rockets,Philadelphia 76ers,0.915380330375
Indiana Pacers,Orlando Magic,0.758940187656
Los Angeles Clippers,Brooklyn Nets,0.898989154489
Boston Celtics,New Orleans Pelicans,0.605785565583
Dallas Mavericks,New York Knicks,0.603296947213
San Antonio Spurs,Miami Heat,0.762940033649
Utah Jazz,Memphis Grizzlies,0.712093933142
Cleveland Cavaliers,Toronto Raptors,0.76578643134
Los Angeles Lakers,Brooklyn Nets,0.634448898485
Miami Heat,Atlanta Hawks,0.68746852486
Charlotte Hornets,Minnesota Timberwolves,0.503017213234
Portland Trail Blazers,Chicago Bulls,0.711892407761
Atlanta Hawks,Milwaukee Bucks,0.826504571578
Boston Celtics,Dallas Mavericks,0.659773318155
Denver Nuggets,Phoenix Suns,0.717214918647
Cleveland Cavaliers,Indiana Pacers,0.6256235826
Los Angeles Clippers,Memphis Grizzlies,0.798424070109
Detroit Pistons,New York Knicks,0.535279832343
Oklahoma City Thunder,Houston Rockets,0.824050471574
Orlando Magic,New Orleans Pelicans,0.692113219219
Washington Wizards,Philadelphia 76ers,0.783811282936
San Antonio Spurs,Sacramento Kings,0.709620881158
Golden State Warriors,Toronto Raptors,0.522429259315
Portland Trail Blazers,Houston Rockets,0.503491719654
Miami Heat,Milwaukee Bucks,0.837901715455
Minnesota Timberwolves,Philadelphia 76ers,0.876852291901
Utah Jazz,Chicago Bulls,0.554034865743
Washington Wizards,New York Knicks,0.731115023764
Golden State Warriors,Boston Celtics,0.608441861892
Charlotte Hornets,Atlanta Hawks,0.675747352532
Cleveland Cavaliers,Detroit Pistons,0.879106679256
Dallas Mavericks,Memphis Grizzlies,0.720502815997
Toronto Raptors,Denver Nuggets,0.650738601839
Indiana Pacers,Phoenix Suns,0.839797910083
San Antonio Spurs,Los Angeles Lakers,0.839451400673
Portland Trail Blazers,New Orleans Pelicans,0.694173043806
Oklahoma City Thunder,Brooklyn Nets,0.947412877227
Los Angeles Clippers,Sacramento Kings,0.592830241628
Detroit Pistons,Boston Celtics,0.575708049743
Houston Rockets,Utah Jazz,0.640724486885
Los Angeles Clippers,Chicago Bulls,0.665496274415
Memphis Grizzlies,Minnesota Timberwolves,0.660551493355
Golden State Warriors,Milwaukee Bucks,0.784453333418
Charlotte Hornets,New Orleans Pelicans,0.598587915908
Dallas Mavericks,Orlando Magic,0.506802329011
Phoenix Suns,Philadelphia 76ers,0.60845752642
Washington Wizards,Miami Heat,0.515414002751
Portland Trail Blazers,Brooklyn Nets,0.797940439708
Denver Nuggets,Utah Jazz,0.501745683246
Chicago Bulls,Los Angeles Lakers,0.720472665751
Atlanta Hawks,New York Knicks,0.598963575638
Oklahoma City Thunder,Indiana Pacers,0.821333477086
Toronto Raptors,Sacramento Kings,0.655469819457
Charlotte Hornets,Memphis Grizzlies,0.792543065242
Detroit Pistons,Houston Rockets,0.619214520932
Golden State Warriors,Indiana Pacers,0.617238069615
Los Angeles Clippers,Toronto Raptors,0.557473209569
Milwaukee Bucks,Orlando Magic,0.582467214576
Boston Celtics,Minnesota Timberwolves,0.510527242163
Miami Heat,Philadelphia 76ers,0.857056221188
San Antonio Spurs,Dallas Mavericks,0.815713276263
Washington Wizards,Phoenix Suns,0.804064594212
Atlanta Hawks,New Orleans Pelicans,0.821394281633
Chicago Bulls,Denver Nuggets,0.541235085645
Oklahoma City Thunder,Los Angeles Lakers,0.832158316989
Portland Trail Blazers,New York Knicks,0.71174803578
Boston Celtics,Brooklyn Nets,0.727782463871
San Antonio Spurs,Charlotte Hornets,0.513898953731
Cleveland Cavaliers,Portland Trail Blazers,0.772320903983
Dallas Mavericks,Los Angeles Clippers,0.517215563028
Detroit Pistons,Miami Heat,0.52025686252
Golden State Warriors,Los Angeles Lakers,0.944983699076
Toronto Raptors,Houston Rockets,0.512687313253
Indiana Pacers,Atlanta Hawks,0.65549519783
New Orleans Pelicans,Minnesota Timberwolves,0.608495811966
Orlando Magic,Phoenix Suns,0.731903999291
Memphis Grizzlies,Philadelphia 76ers,0.700199611372
Oklahoma City Thunder,Sacramento Kings,0.698548007138
Utah Jazz,Denver Nuggets,0.765840585119
San Antonio Spurs,Boston Celtics,0.527359952481
Cleveland Cavaliers,Dallas Mavericks,0.846333714447
Oklahoma City Thunder,Denver Nuggets,0.69413230774
Detroit Pistons,Los Angeles Clippers,0.536387494675
Indiana Pacers,Brooklyn Nets,0.886841730257
Golden State Warriors,Los Angeles Lakers,0.879252445154
Miami Heat,Memphis Grizzlies,0.605629866563
Toronto Raptors,Milwaukee Bucks,0.670449463131
Charlotte Hornets,New York Knicks,0.618638187646
Orlando Magic,Washington Wizards,0.539199583779
Chicago Bulls,Philadelphia 76ers,0.823004489514
Phoenix Suns,Minnesota Timberwolves,0.540038138496
Portland Trail Blazers,New Orleans Pelicans,0.858915333887
Houston Rockets,Sacramento Kings,0.508816596285
Utah Jazz,Atlanta Hawks,0.574332206154
Charlotte Hornets,New York Knicks,0.791852978145
Golden State Warriors,Minnesota Timberwolves,0.92769360085
Miami Heat,Memphis Grizzlies,0.801283821954
Oklahoma City Thunder,Detroit Pistons,0.850109722118
San Antonio Spurs,Washington Wizards,0.596632697278
Sacramento Kings,Brooklyn Nets,0.565294027646
Dallas Mavericks,New Orleans Pelicans,0.761348299662
Indiana Pacers,Los Angeles Clippers,0.591759083254
Atlanta Hawks,Los Angeles Lakers,0.703546890204
Orlando Magic,Milwaukee Bucks,0.699569579441
Cleveland Cavaliers,Philadelphia 76ers,0.931569071182
Phoenix Suns,Denver Nuggets,0.571497643255
Portland Trail Blazers,Houston Rockets,0.741833813886
Golden State Warriors,Atlanta Hawks,0.857396654745
Charlotte Hornets,Memphis Grizzlies,0.543595484412
Miami Heat,Boston Celtics,0.66276515888
Minnesota Timberwolves,Utah Jazz,0.539987206711
Oklahoma City Thunder,New York Knicks,0.757294713213
Toronto Raptors,Philadelphia 76ers,0.949007918989
Washington Wizards,Sacramento Kings,0.732336042442
Los Angeles Clippers,Brooklyn Nets,0.758188184948
Charlotte Hornets,Detroit Pistons,0.72989513154
Cleveland Cavaliers,Milwaukee Bucks,0.790419380549
New Orleans Pelicans,Los Angeles Lakers,0.675406938066
San Antonio Spurs,Orlando Magic,0.881763601595
Utah Jazz,Houston Rockets,0.59095526391
Boston Celtics,Detroit Pistons,0.71913025616
Chicago Bulls,Los Angeles Lakers,0.781761991201
San Antonio Spurs,Dallas Mavericks,0.610395766349
Miami Heat,Denver Nuggets,0.603370932329
Minnesota Timberwolves,New York Knicks,0.662037955305
Oklahoma City Thunder,Washington Wizards,0.837796889149
Atlanta Hawks,Phoenix Suns,0.645074750491
Portland Trail Blazers,Indiana Pacers,0.738250505078
Toronto Raptors,Memphis Grizzlies,0.837177306537
Milwaukee Bucks,Brooklyn Nets,0.504085880901
Charlotte Hornets,Dallas Mavericks,0.671774822142
Cleveland Cavaliers,Los Angeles Clippers,0.810331038541
Golden State Warriors,Houston Rockets,0.865553252055
Memphis Grizzlies,Orlando Magic,0.601421743818
Miami Heat,Utah Jazz,0.509305922337
Atlanta Hawks,Detroit Pistons,0.724413618459
Boston Celtics,Sacramento Kings,0.783878290941
Cleveland Cavaliers,Chicago Bulls,0.717178835811
